otus	phylum
OTU_337	"p:""Bacteroidetes"""
OTU_336	p:Firmicutes
OTU_339	p:Firmicutes
OTU_340	"p:""Bacteroidetes"""
OTU_338	p:Firmicutes
OTU_341	p:Firmicutes
OTU_342	"p:""Bacteroidetes"""
OTU_343	p:Firmicutes
OTU_344	p:Firmicutes
OTU_346	p:Firmicutes
OTU_345	p:Firmicutes
OTU_348	"p:""Bacteroidetes"""
OTU_347	unknown
OTU_349	"p:""Bacteroidetes"""
OTU_350	p:Firmicutes
OTU_351	unknown
OTU_352	p:Firmicutes
OTU_355	"p:""Spirochaetes"""
OTU_356	"p:""Bacteroidetes"""
OTU_354	unknown
OTU_353	p:Firmicutes
OTU_357	"p:""Bacteroidetes"""
OTU_358	"p:""Tenericutes"""
OTU_359	unknown
OTU_360	p:Firmicutes
OTU_362	unknown
OTU_361	unknown
OTU_363	"p:""Spirochaetes"""
OTU_364	unknown
OTU_365	"p:""Proteobacteria"""
OTU_366	p:Firmicutes
OTU_367	"p:""Proteobacteria"""
OTU_369	"p:""Bacteroidetes"""
OTU_371	"p:""Bacteroidetes"""
OTU_368	p:Firmicutes
OTU_370	p:Firmicutes
OTU_372	p:Firmicutes
OTU_373	unknown
OTU_374	p:Firmicutes
OTU_375	unknown
OTU_376	p:Firmicutes
OTU_377	p:Firmicutes
OTU_379	unknown
OTU_378	"p:""Proteobacteria"""
OTU_381	"p:""Bacteroidetes"""
OTU_382	"p:""Bacteroidetes"""
OTU_380	p:Firmicutes
OTU_383	"p:""Proteobacteria"""
OTU_384	p:Firmicutes
OTU_385	unknown
OTU_387	"p:""Spirochaetes"""
OTU_386	"p:""Proteobacteria"""
OTU_389	p:Firmicutes
OTU_388	p:Firmicutes
OTU_391	p:Firmicutes
OTU_390	p:Firmicutes
OTU_392	p:Firmicutes
OTU_395	"p:""Spirochaetes"""
OTU_394	unknown
OTU_393	unknown
OTU_397	"p:""Bacteroidetes"""
OTU_398	"p:""Bacteroidetes"""
OTU_399	"p:""Bacteroidetes"""
OTU_396	p:Firmicutes
OTU_401	p:Firmicutes
OTU_400	p:Firmicutes
OTU_402	p:Firmicutes
OTU_403	p:Firmicutes
OTU_406	unknown
OTU_404	p:Firmicutes
OTU_405	p:Firmicutes
OTU_407	p:Firmicutes
OTU_408	p:Firmicutes
OTU_410	p:Firmicutes
OTU_409	unknown
OTU_411	unknown
OTU_414	"p:""Tenericutes"""
OTU_412	unknown
OTU_413	unknown
OTU_415	p:Firmicutes
OTU_416	"p:""Tenericutes"""
OTU_418	p:Firmicutes
OTU_417	unknown
OTU_419	p:Firmicutes
OTU_421	"p:""Tenericutes"""
OTU_420	p:Firmicutes
OTU_422	"p:""Proteobacteria"""
OTU_423	unknown
OTU_425	"p:""Spirochaetes"""
OTU_424	p:Firmicutes
OTU_427	p:Firmicutes
OTU_426	unknown
OTU_428	"p:""Bacteroidetes"""
OTU_431	"p:""Bacteroidetes"""
OTU_429	unknown
OTU_430	p:Firmicutes
OTU_432	p:Firmicutes
OTU_434	p:Firmicutes
OTU_435	unknown
OTU_433	unknown
OTU_436	unknown
OTU_437	p:Firmicutes
OTU_438	"p:""Spirochaetes"""
OTU_439	p:Firmicutes
OTU_440	p:Firmicutes
OTU_441	p:Firmicutes
OTU_442	"p:""Tenericutes"""
OTU_443	unknown
OTU_444	unknown
OTU_446	p:Firmicutes
OTU_445	p:Firmicutes
OTU_447	p:Firmicutes
OTU_448	"p:""Bacteroidetes"""
OTU_449	p:Firmicutes
OTU_450	p:Firmicutes
OTU_451	p:Firmicutes
OTU_453	p:Firmicutes
OTU_452	p:Firmicutes
OTU_454	p:Firmicutes
OTU_455	p:Firmicutes
OTU_457	"p:""Bacteroidetes"""
OTU_456	unknown
OTU_459	"p:""Bacteroidetes"""
OTU_458	p:Firmicutes
OTU_460	unknown
OTU_461	p:Firmicutes
OTU_463	p:Firmicutes
OTU_462	p:Firmicutes
OTU_464	p:Firmicutes
OTU_466	"p:""Bacteroidetes"""
OTU_465	unknown
OTU_467	"p:""Spirochaetes"""
OTU_469	unknown
OTU_468	p:Firmicutes
OTU_470	p:Firmicutes
OTU_471	unknown
OTU_472	p:Firmicutes
OTU_475	p:Firmicutes
OTU_474	p:Firmicutes
OTU_473	unknown
OTU_478	"p:""Proteobacteria"""
OTU_479	p:Firmicutes
OTU_476	unknown
OTU_477	unknown
OTU_480	"p:""Bacteroidetes"""
OTU_481	p:Firmicutes
OTU_482	"p:""Proteobacteria"""
OTU_483	p:Firmicutes
OTU_484	unknown
OTU_485	unknown
OTU_486	p:Firmicutes
OTU_487	p:Firmicutes
OTU_489	"p:""Bacteroidetes"""
OTU_488	unknown
OTU_490	p:Firmicutes
OTU_493	"p:""Bacteroidetes"""
OTU_491	p:Firmicutes
OTU_492	p:Firmicutes
OTU_494	p:Firmicutes
OTU_497	"p:""Bacteroidetes"""
OTU_495	p:Firmicutes
OTU_496	unknown
OTU_498	"p:""Proteobacteria"""
OTU_499	p:Firmicutes
OTU_501	"p:""Bacteroidetes"""
OTU_500	p:Firmicutes
OTU_502	p:Firmicutes
OTU_504	p:Firmicutes
OTU_505	unknown
OTU_503	"p:""Proteobacteria"""
OTU_506	p:Firmicutes
OTU_507	p:Firmicutes
OTU_509	"p:""Spirochaetes"""
OTU_508	p:Firmicutes
OTU_510	p:Firmicutes
OTU_511	p:Firmicutes
OTU_512	p:Firmicutes
OTU_513	p:Firmicutes
OTU_514	p:Firmicutes
OTU_515	unknown
OTU_517	unknown
OTU_516	unknown
OTU_518	unknown
OTU_519	"p:""Spirochaetes"""
OTU_520	p:Firmicutes
OTU_521	unknown
OTU_522	p:Firmicutes
OTU_523	p:Firmicutes
OTU_524	"p:""Bacteroidetes"""
OTU_525	p:Firmicutes
OTU_526	p:Firmicutes
OTU_528	p:Firmicutes
OTU_527	unknown
OTU_531	unknown
OTU_529	"p:""Actinobacteria"""
OTU_532	unknown
OTU_530	p:Firmicutes
OTU_533	p:Firmicutes
OTU_535	"p:""Bacteroidetes"""
OTU_534	unknown
OTU_536	unknown
OTU_538	"p:""Bacteroidetes"""
OTU_537	unknown
OTU_539	p:Firmicutes
OTU_540	p:Firmicutes
OTU_541	p:Firmicutes
OTU_542	p:Firmicutes
OTU_544	"p:""Bacteroidetes"""
OTU_543	p:Firmicutes
OTU_545	unknown
OTU_546	p:Firmicutes
OTU_548	"p:""Bacteroidetes"""
OTU_547	p:Firmicutes
OTU_550	p:Firmicutes
OTU_549	p:Firmicutes
OTU_551	unknown
OTU_552	"p:""Bacteroidetes"""
OTU_553	"p:""Bacteroidetes"""
OTU_554	p:Firmicutes
OTU_555	"p:""Bacteroidetes"""
OTU_556	p:Firmicutes
OTU_558	p:Firmicutes
OTU_557	p:Firmicutes
OTU_559	p:Firmicutes
OTU_560	p:Firmicutes
OTU_561	p:Firmicutes
OTU_562	"p:""Tenericutes"""
OTU_563	"p:""Bacteroidetes"""
OTU_564	unknown
OTU_565	unknown
OTU_566	"p:""Bacteroidetes"""
OTU_567	p:Firmicutes
OTU_568	unknown
OTU_569	p:Firmicutes
OTU_570	unknown
OTU_571	p:Firmicutes
OTU_572	p:Firmicutes
OTU_573	p:Firmicutes
OTU_574	unknown
OTU_575	"p:""Proteobacteria"""
OTU_576	"p:""Bacteroidetes"""
OTU_577	p:Firmicutes
OTU_578	unknown
OTU_579	unknown
OTU_580	p:Firmicutes
OTU_581	p:Firmicutes
OTU_582	unknown
OTU_583	p:Firmicutes
OTU_584	p:Firmicutes
OTU_585	p:Firmicutes
OTU_586	unknown
OTU_587	p:Firmicutes
OTU_588	p:Firmicutes
OTU_589	p:Firmicutes
OTU_590	"p:""Bacteroidetes"""
OTU_592	unknown
OTU_591	unknown
OTU_594	unknown
OTU_593	p:Firmicutes
OTU_596	p:Firmicutes
OTU_595	unknown
OTU_597	"p:""Bacteroidetes"""
OTU_599	unknown
OTU_600	p:Firmicutes
OTU_601	p:Firmicutes
